Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,growth
Ethiopia,ETH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2154.754605,2319.707378,0.076552927
European Union,EUU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,44637.55854,46442.77617,0.040441675
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4893.471932,4982.458801,0.018184812
Finland,FIN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,49748.32655,51619.82957,0.037619417
Fiji,FJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14183.5639,14289.9605,0.007501401
France,FRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46663.60855,49519.29673,0.061197328
Faroe Islands,FRO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
"Micronesia, Fed. Sts.",FSM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3547.975116,,
Gabon,GAB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15103.60903,15611.64862,0.033636966
United Kingdom,GBR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,47201.17913,48484.27286,0.02718351
Georgia,GEO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14604.38444,15656.60395,0.072048193
Ghana,GHA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5320.975634,5652.150608,0.062239521
Gibraltar,GIB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Guinea,GIN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2556.773681,2675.461571,0.04642096
"Gambia, The",GMB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2210.638673,2321.237748,0.050030372
Guinea-Bissau,GNB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1996.659573,2077.401669,0.040438589
