name,State,gdp,population,region,totalGenerated,totalConsumed,imports,co2_electric_emissions,renewable_share,cons_rejected,cons_residential,cons_commercial,cons_industrial,cons_rejected_pct,cons_residential_pct,cons_commercial_pct,cons_industrial_pct,cons_export_pct,gen_petroleum,gen_naturalGas,gen_coal,gen_nuclear,gen_hydroelectric,gen_nonhydroRenewables,gen_total,gen_petroleum_pct,gen_naturalGas_pct,gen_coal_pct,gen_nuclear_pct,gen_hydroelectric_pct,gen_nonhydroRenewables_pct,gen_import_pct,gdp_cat,population_cat,co2_capita,electric_cleanliness,coal_pct_cat,renewable_share_cat
Kentucky,KY,196681,4467673,South,805.1,804.5,8.1,58805,0.06,543,94.6,68.2,98.7,0.674953387,0.117588564,0.084773151,0.122684897,0,1.0361,138.0404,606.5967,0,47.1824,4.1444,797,0.001286921,0.171457459,0.753442678,0,0.058604397,0.005147684,0.010060862,2,2,0.013162333,73.78293601,none,low
Louisiana,LA,236999,4648794,South,746.0697565,746.2,65.2,48116,0.04,425,109,84.2,128,0.569552399,0.146073439,0.112838381,0.171535781,0,0,459.7692365,73.13272512,122.1602503,9.601223689,16.20632084,681,0,0.616203699,0.098015813,0.163724739,0.012867998,0.02172045,0.087376039,2,2,0.010350211,70.65491924,low,low
Maine,ME,59295,1344212,Northeast,99.8,99.9,4.3,1823,0.41,57.7,16.6,15.2,10.4,0.577577578,0.166166166,0.152152152,0.104104104,0,0,26.931,0,0.83085,26.82595,40.9122,95.5,0,0.269849699,0,0.00832515,0.268797094,0.409941884,0.043086172,0,0,0.001356185,19.08900524,none,high
Maryland,MD,382437,6045680,South,490.1766443,489.2,75.1,13109,0.07,279,96,101,13.2,0.570318888,0.196238757,0.206459526,0.026982829,0,1.245105422,108.5731928,135.7579946,144.3077185,11.66248746,13.53014559,415,0.002540298,0.221513977,0.276977148,0.294420526,0.023794124,0.02760457,0.153234034,3,2,0.002168325,31.58795181,high,low
Massachusetts,MA,505776,6949503,Northeast,230,230,102,8519,0.07,150,69.2,88.6,22.9,0.453583308,0.209253099,0.267916541,0.069247052,0,4.6,138,0,46.4,10.3,30.7,332,0.013,0.8339,0,0,0.0417,0.1115,0.307228916,3,3,0.001225843,25.65963855,none,low
Michigan,MI,490238,9986857,Midwest,1141,1141.197984,-23.1,57232,0.09,760.0666082,120.0105171,133.0116564,105.0092025,0.666082384,0.105170903,0.116564417,0.09202454,0.020243625,1.0269,317.8826,370.825,331.9169,17.0009,102.3477,1141,0.0009,0.2786,0.325,0.2909,0.0149,0.0897,0,3,3,0.005730732,50.1595092,high,medium
Minnesota,MN,339096,5639632,Midwest,629.6840042,629.4,33.8,25291,0.16,395,77.9,79.8,76.7,0.627581824,0.123768669,0.126787417,0.121862091,0,0,85.04115152,230.1534178,135.3983856,10.60779606,134.6832533,596,0,0.135041601,0.365473484,0.215006669,0.016844713,0.21387107,0.053667831,3,2,0.004484512,42.43456376,high,high
Mississippi,MS,108495,2976149,South,513,513.9727096,-28.5,25018,0.06,313.3050682,65.96423002,49.64834308,56.55506823,0.610136452,0.128460039,0.09668616,0.110136452,0.055501461,0.2052,368.7444,44.6823,88.1847,0,11.1834,513,0.0004,0.7188,0.0871,0.1719,0,0.0218,0,1,1,0.008406165,48.76803119,low,low
Missouri,MO,299113,6137428,Midwest,867.9282143,867.7,6.1,57516,0.06,588,128,106,45.7,0.677653567,0.147516423,0.122162038,0.052667973,0,11.20488727,69.72887542,0,703.6669208,21.0307115,56.19681925,862,0.012908651,0.080331529,0,0.810663288,0.024228545,0.06474185,0.00702684,2,2,0.009371352,66.72389791,none,low
Montana,MT,46227,1068778,West,283.9432028,283.8145775,-41.3,16348,0.34,191.9323944,17.69376761,16.79408451,16.09433099,0.676056338,0.062323944,0.05915493,0.056690141,0.145473758,0,5.05469448,121.1990789,0,127.9292058,29.76022368,284,0,0.0178,0.4268,0,0.4505,0.1048,0,0,0,0.015295974,57.56338028,high,high
Nebraska,NE,117446,1934408,Midwest,377,375.6250663,-12.8,23660,0.21,257.5209549,35.43408488,32.5394695,37.33055703,0.684350133,0.094164456,0.086472149,0.099204244,0.034015413,0,18.3976,201.4311,67.86,15.5324,73.7789,377,0,0.0488,0.5343,0.18,0.0412,0.1957,0,1,1,0.012231132,62.75862069,high,high
Nevada,NV,146278,3080156,West,331.7,331.9,1.7,13921,0.16,203,45.9,41.4,41.6,0.611630009,0.138294667,0.124736366,0.125338958,0,0,211.827,10.923,0,18.183,89.067,330,0,0.63861019,0.032930359,0,0.054817606,0.268516732,0.005125113,1,1,0.004519576,42.18484848,low,high
